Centre.Name,Centre.Type,Official.Low.Year.Level,Official.High.Year.Level,Education.Level,Officer.In.Charge.Title,Email,Internet.Site,Phone.Number,Actual.Address.Line.1,Actual.Address.Line.2,Actual.Address.Line.3,Actual.Address.Post.Code,Postal.Address.Line.1,Postal.Address.Line.2,Postal.Address.Post.Code,Education.Geographic.Region,Federal.Electorate,State.Electorate,Local.Government.Area,All.Student.Count,Early.Childhood.Registrations,Sector,Non.State.Sector,HWP.Sub.Basin,SubBasinOrSubZone,geometry
Southern Cross Catholic College (Townsville),Non-State School,Prep Year,Year 12,Combined,Principal,anndle@sctsv.catholic.edu.au,sctsv.catholic.edu.au,(07) 4778 3444,NA,Gartrell Drive,Annandale,4814,PO Box 1747,Aitkenvale,4814,North Queensland,Dawson,Mundingburra,Townsville (C),1468,NA,Non-State,Catholic,NA,Ross River (Lower),"c(146.802354, -19.315074)"
"St Joseph's Catholic School, The Strand (North Ward)",Non-State School,Prep Year,Year 6,Primary,Principal,enquiries@sjnwtsv.catholic.edu.au,sjnwtsv.catholic.edu.au,(07) 4772 1973,NA,Fryer Street,North Ward,4810,PO Box 5082,Townsville,4810,North Queensland,Herbert,Townsville,Townsville (C),387,NA,Non-State,Catholic,NA,Ross River (Lower),"c(146.81756, -19.253335)"
St Joseph's School (Mundingburra),Non-State School,Prep Year,Year 6,Primary,Principal,enquiries@sjmbtsv.catholic.edu.au,sjmbtsv.catholic.edu.au,(07) 4779 1651,NA,65-75 Ross River Road,Mundingburra,4812,PO Box 201,Castletown,4812,North Queensland,Herbert,Mundingburra,Townsville (C),360,NA,Non-State,Catholic,NA,Ross River (Lower),"c(146.790602, -19.294115)"
St Margaret Mary's College (Hyde Park),Non-State School,Year 7,Year 12,Secondary,Principal,smmc@smmc.catholic.edu.au,smmc.catholic.edu.au,(07) 4726 4900,NA,1-9 Crowle Street,Hyde Park,4812,PO Box 3685,Hermit Park,4812,North Queensland,Herbert,Townsville,Townsville (C),688,NA,Non-State,Catholic,NA,Ross River (Lower),"c(146.799503, -19.278002)"
St Patrick's College Townsville (Townsville),Non-State School,Year 7,Year 12,Secondary,Principal,office@stpatscollege.qld.edu.au,stpatscollege.qld.edu.au,(07) 4753 0300,NA,45 The Strand,Townsville,4810,PO Box 721,Townsville,4810,North Queensland,Herbert,Townsville,Townsville (C),627,NA,Non-State,Catholic,NA,Ross River (Lower),"c(146.81726, -19.252247)"
The Cathedral School of St Anne and St James (Mundingburra),Non-State School,Prep Year,Year 12,Combined,Principal,tcs@cathedral.qld.edu.au,cathedral.qld.edu.au,(07) 4722 2000,NA,154 Ross River Road,Mundingburra,4812,PO Box 944,Aitkenvale,4814,North Queensland,Herbert,Mundingburra,Townsville (C),1131,NA,Non-State,Independent,NA,Ross River (Lower),"c(146.779066, -19.295826)"
Townsville Central State School,State School,Prep Year,Year 6,Primary,Principal,admin@townsvillecentralss.eq.edu.au,townsvillecentralss.eq.edu.au,(07) 4722 6333,NA,4 Warburton Street,North Ward,4810,4 Warburton Street,North Ward,4810,North Queensland,Herbert,Townsville,Townsville (C),170,0,State,NA,NA,Ross River (Lower),"c(146.812035, -19.251075)"
Townsville Christian College (Vincent),Non-State School,Prep Year,Year 12,Combined,Principal,info@tsvcc.qld.edu.au,tsvcc.qld.edu.au,(07) 4448 3111,NA,210 Palmerston Street,Vincent,4814,PO Box 34,Aitkenvale,4814,North Queensland,Herbert,Mundingburra,Townsville (C),421,NA,Non-State,Independent,NA,Ross River (Lower),"c(146.766701, -19.27982)"
Townsville Community Learning Centre - A State Special School,Special School,Prep Year,Year 12,Combined,Principal,admin@tclcspecs.eq.edu.au,tclcspecs.eq.edu.au,(07) 4759 4111,NA,78 Thompson Street,Mundingburra,4812,PO Box 603,Aitkenvale,4814,North Queensland,Herbert,Mundingburra,Townsville (C),206,0,State,NA,NA,Ross River (Lower),"c(146.776934, -19.303797)"
"Townsville Flexible School (West End, Townsville)",Non-State School,Year 7,Year 12,Secondary,Principal,townsvilleflc@youthplus.edu.au,youthplus.edu.au,(07) 4724 9600,NA,26 Ingham Road,"West End, Townsville",4810,PO Box 1861,Milton,4064,North Queensland,Herbert,Townsville,Townsville (C),128,NA,Non-State,Catholic,NA,Ross River (Lower),"c(146.803293, -19.268834)"
Townsville Grammar School (North Ward),Non-State School,Year 7,Year 12,Secondary,Principal,tgs@tgs.qld.edu.au,tgs.qld.edu.au,(07) 4722 4900,NA,45 Paxton Street,North Ward,4810,45 Paxton Street,North Ward,4810,North Queensland,Herbert,Townsville,Townsville (C),725,NA,Non-State,Independent,NA,Ross River (Lower),"c(146.805947, -19.25193)"
Townsville South State School,State School,Prep Year,Year 6,Primary,Principal,admin@townsvillesouthss.eq.edu.au,townsvillesouthss.eq.edu.au,(07) 4726 4111,NA,78 Tully Street,South Townsville,4810,78 Tully Street,South Townsville,4810,North Queensland,Herbert,Townsville,Townsville (C),103,0,State,NA,NA,Ross River (Lower),"c(146.82664, -19.262946)"
Townsville State High School,State High School,Year 7,Year 12,Secondary,Principal,admin@townsvilleshs.eq.edu.au,townsvilleshs.eq.edu.au,(07) 4721 8777,NA,36 Boundary Street,Railway Estate,4810,PO Box 5439,Townsville,4810,North Queensland,Herbert,Townsville,Townsville (C),853,0,State,NA,NA,Ross River (Lower),"c(146.810515, -19.272275)"
Townsville West State School,State School,Prep Year,Year 6,Primary,Principal,admin@townsvillewestss.eq.edu.au,townsvillewestss.eq.edu.au,(07) 4750 7222,NA,Wilson Street,West End,4810,Wilson Street,West End,4810,North Queensland,Herbert,Townsville,Townsville (C),111,0,State,NA,NA,Ross River (Lower),"c(146.80424, -19.267204)"
Vincent State School,State School,Early Childhood,Year 6,Primary,Principal,principal@vincentss.eq.edu.au,vincentss.eq.edu.au,(07) 4728 0444,NA,280 Palmerston Street,Vincent,4814,PO Box 415,Aitkenvale,4814,North Queensland,Herbert,Mundingburra,Townsville (C),122,53,State,NA,NA,Ross River (Lower),"c(146.764202, -19.286559)"
Weir State School,State School,Prep Year,Year 6,Primary,Principal,admin@weirss.eq.edu.au,weirss.eq.edu.au,(07) 4726 1333,NA,592 Ross River Road,Thuringowa Central,4817,PO Box 1776,Thuringowa Central,4817,North Queensland,Herbert,Thuringowa,Townsville (C),645,0,State,NA,NA,Ross River (Lower),"c(146.734529, -19.315264)"
William Ross State High School,State High School,Year 7,Year 12,Secondary,Principal,principal@williamrossshs.eq.edu.au,williamrossshs.eq.edu.au,(07) 4726 7666,NA,Mervyn Crossman Drive,Annandale,4814,PO Box 1284,Aitkenvale,4814,North Queensland,Dawson,Mundingburra,Townsville (C),985,0,State,NA,NA,Ross River (Lower),"c(146.800571, -19.314852)"
Wulguru State School,State School,Prep Year,Year 6,Primary,Principal,principal@wulguruss.eq.edu.au,wulguruss.eq.edu.au,(07) 4799 8777,NA,Edison Street,Wulguru,4811,PO Box 2541,Idalia,4811,North Queensland,Dawson,Mundingburra,Townsville (C),199,0,State,NA,NA,Ross River (Lower),"c(146.812138, -19.324552)"
All Souls St Gabriels School (Charters Towers),Non-State School,Prep Year,Year 12,Combined,Headmaster,school@allsouls.qld.edu.au,allsouls.qld.edu.au,(07) 4787 1433,NA,30 Dr George Ellis Drive,Charters Towers,4820,PO Box 235,Charters Towers,4820,North Queensland,Kennedy,Traeger,Charters Towers (R),427,NA,Non-State,Independent,NA,Upper Burdekin,"c(146.276724, -20.062721)"
Blackheath and Thornburgh College (Charters Towers),Non-State School,Prep Year,Year 12,Combined,Principal,enquiries@btc.qld.edu.au,btc.qld.edu.au,(07) 4787 5100,NA,55 King Street,Charters Towers,4820,PO Box 339,Charters Towers,4820,North Queensland,Kennedy,Traeger,Charters Towers (R),304,NA,Non-State,Independent,NA,Upper Burdekin,"c(146.256862, -20.070551)"
Charters Towers Central State School,State School,Early Childhood,Year 6,Primary,Principal,admin@charterstowerscentralss.eq.edu.au,charterstowerscentralss.eq.edu.au,(07) 4756 2333,NA,High Street,Charters Towers,4820,PO Box 64,Charters Towers,4820,North Queensland,Kennedy,Traeger,Charters Towers (R),140,0,State,NA,NA,Upper Burdekin,"c(146.263198, -20.080199)"
Charters Towers School of Distance Education,School of Distance Education,Prep Year,Year 12,Combined,Principal,ctsde@charterstowerssde.eq.edu.au,charterstowerssde.eq.edu.au,(07) 4754 6888,NA,15-23 Brisk Street,Millchester,4820,PO Box 685,Charters Towers,4820,North Queensland,Kennedy,Traeger,Charters Towers (R),2459,0,State,NA,NA,Upper Burdekin,"c(146.268249, -20.089473)"
Charters Towers State High School,State High School,Year 7,Year 12,Secondary,Principal,enquiries@charterstowersshs.eq.edu.au,charterstowersshs.eq.edu.au,(07) 4754 6555,NA,97-113 Towers Street,Charters Towers,4820,PO Box 234,Charters Towers,4820,North Queensland,Kennedy,Traeger,Charters Towers (R),364,0,State,NA,NA,Upper Burdekin,"c(146.258473, -20.080196)"
Columba Catholic College (Hackett Tce - Charters Towers),Non-State School,Year 7,Year 12,Secondary,Principal,office@columba.catholic.edu.au,columba.catholic.edu.au,(07) 4787 1744,NA,6-8 Hackett Terrace,Charters Towers,4820,PO Box 274,Charters Towers,4820,North Queensland,Kennedy,Traeger,Charters Towers (R),321,NA,Non-State,Catholic,NA,Upper Burdekin,"c(146.272891, -20.061444)"
Greenvale State School,State School,Early Childhood,Year 6,Primary,Principal,principal@greenvaless.eq.edu.au,greenvaless.eq.edu.au,(07) 4788 4126,NA,Cassia Court,Greenvale,4816,PO Box 2,Greenvale,4816,North Queensland,Kennedy,Traeger,Charters Towers (R),22,2,State,NA,NA,Upper Burdekin,"c(144.980551, -18.999118)"
Millchester State School,State School,Prep Year,Year 6,Primary,Principal,principal@millchesterss.eq.edu.au,millchesterss.eq.edu.au,(07) 4754 6666,NA,Cnr Bluff & Phillipson Roads,Millchester,4820,PO Box 732,Charters Towers,4820,North Queensland,Kennedy,Traeger,Charters Towers (R),153,0,State,NA,NA,Upper Burdekin,"c(146.275344, -20.0891)"
Ravenswood State School,State School,Early Childhood,Year 6,Primary,Principal,principal@ravenswoodss.eq.edu.au,ravenswoodss.eq.edu.au,(07) 4754 9999,NA,30-40 Elphinstone Street,Ravenswood,4816,30-40 Elphinstone Street,Ravenswood,4816,North Queensland,Kennedy,Traeger,Charters Towers (R),12,1,State,NA,NA,Upper Burdekin,"c(146.887026, -20.0962)"
Richmond Hill State School,State School,Prep Year,Year 6,Primary,Principal,principal@richhillss.eq.edu.au,richmondhillss.eq.edu.au,(07) 4756 2222,NA,Cnr Baker & Burdekin Streets,Richmond Hill,4820,PO Box 317,Charters Towers,4820,North Queensland,Kennedy,Traeger,Charters Towers (R),176,0,State,NA,NA,Upper Burdekin,"c(146.265083, -20.061524)"
